City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,mount pleasant,32.7941,-79.8626,19.44,51,40,5.66,US,1697491437
190,sandnessjoen,66.0217,12.6316,5.23,81,75,4.12,NO,1697491583
191,laguna,38.421,-121.4238,29.08,39,0,2.06,US,1697491458
192,gagliano del capo,39.8442,18.3695,17.68,63,100,5.14,IT,1697491583
193,homer,59.6425,-151.5483,9.94,81,100,0.0,US,1697491067
194,chonchi,-42.6128,-73.8092,12.56,56,6,2.27,CL,1697491463
195,iskateley,67.6803,53.1512,3.9,93,100,5.81,RU,1697491431
196,invercargill,-46.4,168.35,9.45,83,50,2.24,NZ,1697491062
197,kurchatov,51.6601,35.6521,6.68,87,100,7.3,RU,1697491583
198,mossel bay,-34.1831,22.146,14.96,88,4,7.39,ZA,1697491194
199,gereida,11.2811,25.1414,28.85,38,100,3.13,SD,1697491583
200,eirunepe,-6.6603,-69.8736,29.88,62,83,0.57,BR,1697491584
201,chom thong,18.4174,98.6743,24.14,97,58,0.28,TH,1697491584
202,kralendijk,12.15,-68.2667,31.99,70,40,6.17,BQ,1697491584
203,harstad,68.799,16.5293,3.23,98,98,3.13,NO,1697491584
204,jamestown,42.097,-79.2353,10.77,95,100,2.57,US,1697491224
205,sao felix do xingu,-6.6447,-51.995,31.51,44,84,1.54,BR,1697491462
206,touros,-5.1989,-35.4608,25.31,76,45,8.23,BR,1697491546
207,selfoss,63.9331,-20.9971,2.8,77,100,0.76,IS,1697491092
208,klyuchi,52.2667,79.1667,10.02,61,100,4.33,RU,1697491225
209,port hedland,-20.3167,118.5667,24.03,11,0,4.12,AU,1697491584
210,nadi,-17.8,177.4167,27.0,57,20,5.14,FJ,1697491417
211,chibougamau,49.9168,-74.3659,8.79,66,0,3.6,CA,1697491585
212,angaur state,6.906,134.13,27.91,71,46,1.34,PW,1697491459
213,qarqaraly,49.4058,75.4742,7.4,52,89,1.49,KZ,1697491585
214,xichang,27.8964,102.2634,13.73,88,45,0.63,CN,1697491585
215,la'ie,21.6477,-157.9253,30.03,75,81,2.68,US,1697490965
216,howrah,22.5892,88.3103,26.0,89,20,0.0,IN,1697490966
217,udachny,66.4167,112.4,-3.08,92,100,1.39,RU,1697491397
218,ust-nera,64.5667,143.2,-22.35,98,61,1.41,RU,1697491416
219,baise city,23.8997,106.6133,19.28,82,16,0.47,CN,1697491585
220,ghat,24.9647,10.1728,27.05,18,17,2.78,LY,1697491585
221,talnakh,69.4865,88.3972,-1.3,97,100,2.46,RU,1697491403
222,tromso,69.6496,18.957,3.01,75,0,4.63,NO,1697491586
223,maragogi,-9.0122,-35.2225,24.56,74,29,4.24,BR,1697491274
224,blora,-6.9698,111.4186,24.56,79,48,2.16,ID,1697491586
225,ouarzazat,30.9189,-6.8934,23.16,31,40,3.09,MA,1697491586
226,kununurra,-15.7667,128.7333,16.99,59,0,3.09,AU,1697491586
227,alofi,-19.0595,-169.9187,24.94,65,75,9.77,NU,1697491436
228,putina,-15.4667,-69.4333,13.18,50,51,9.26,PE,1697491586
229,formosa,-26.1775,-58.1781,39.99,33,0,1.54,AR,1697491587
230,akureyri,65.6835,-18.0878,1.96,93,75,2.06,IS,1697490946
231,luderitz,-26.6481,15.1594,20.09,52,0,5.71,NA,1697491279
232,rahachow,53.0934,30.0495,3.88,73,6,5.5,BY,1697491587
233,tofol,5.3248,163.0078,28.2,78,100,4.44,FM,1697491283
234,sinjai,-5.1241,120.253,25.51,78,93,1.9,ID,1697491587
235,kodinar,20.7903,70.7031,25.46,75,10,5.02,IN,1697491587
236,mahebourg,-20.4081,57.7,22.36,88,20,1.54,MU,1697491587
237,belaya kholunitsa,58.84,50.8528,9.23,73,100,5.63,RU,1697491588
238,nadvirna,48.6348,24.5694,3.01,84,68,2.37,UA,1697491588
239,kolonia,50.9333,6.95,8.81,88,0,2.06,DE,1697491310
240,rio preto da eva,-2.6994,-59.6997,30.71,54,73,1.2,BR,1697491588
241,kimbe,-5.5502,150.1429,25.45,82,100,1.13,PG,1697491306
242,battambang,13.1027,103.1982,24.3,93,94,0.7,KH,1697491588
243,nuku'alofa,-21.1333,-175.2,25.19,78,20,7.2,TO,1697491561
244,haiku-pauwela,20.9219,-156.3051,28.01,66,40,10.29,US,1697491271
245,egilsstadir,65.2653,-14.3948,0.95,100,75,1.03,IS,1697491459
246,porto velho,-8.7619,-63.9039,32.03,58,40,1.54,BR,1697491414
247,bairnsdale,-37.8333,147.6167,10.59,87,100,0.54,AU,1697491589
248,rawai,7.7797,98.3253,29.43,75,100,3.37,TH,1697491589
249,maxixe,-23.8597,35.3472,20.67,87,100,2.53,MZ,1697491589
250,deniliquin,-35.5333,144.9667,8.34,67,0,4.31,AU,1697491589
251,ulladulla,-35.35,150.4667,10.98,68,88,8.21,AU,1697491224
252,edson,53.5835,-116.4356,7.08,65,75,0.51,CA,1697491479
253,lubango,-14.9172,13.4925,19.5,44,91,1.93,AO,1697491287
254,al bayda',32.7627,21.7551,17.11,92,4,3.4,LY,1697491584
255,pio duran,13.0293,123.445,24.67,84,77,1.64,PH,1697491589
256,thompson,55.7435,-97.8558,12.09,62,75,4.12,CA,1697491243
257,burang,30.25,81.1667,-0.17,69,100,2.34,CN,1697491419
258,borzya,50.3833,116.5167,3.63,74,62,7.83,RU,1697491590
259,kualakapuas,-3.0091,114.3876,24.08,90,56,1.3,ID,1697491590
260,el bauga,18.262,33.9081,30.01,16,0,6.85,SD,1697491590
261,magadan,59.5667,150.8,2.52,66,100,1.34,RU,1697491590
262,melekeok village,7.4957,134.6367,24.31,94,75,0.0,PW,1697491294
263,belen,36.4891,36.2233,15.22,69,20,2.06,TR,1697491590
264,horta,38.5333,-28.6333,19.45,83,20,2.24,PT,1697491591
265,sao lourenco do oeste,-26.3592,-52.8511,22.87,84,89,1.74,BR,1697491591
266,keflavik,64.0049,-22.5624,4.24,87,75,1.54,IS,1697491428
267,zdvinsk,54.7021,78.661,8.96,86,100,4.67,RU,1697491591
268,mto wa mbu,-3.35,35.85,24.46,61,100,2.79,TZ,1697491591
269,vilyuysk,63.7553,121.6247,-2.12,52,100,5.36,RU,1697491448
270,college,64.8569,-147.8028,7.72,74,75,3.09,US,1697490923
271,ivankiv,50.9386,29.8943,5.53,80,35,6.66,UA,1697491591
272,abepura,-2.6333,140.5833,24.45,83,20,0.0,ID,1697491293
273,karratha,-20.7377,116.8463,27.04,22,0,4.93,AU,1697491277
274,shimoda,34.6667,138.95,16.17,76,0,3.23,JP,1697491233
275,araxa,-19.5933,-46.9406,25.85,53,57,1.28,BR,1697491592
276,beau vallon,-20.4189,57.6953,22.34,88,20,1.54,MU,1697491592
277,ambovombe,-25.1667,46.0833,21.37,76,99,3.24,MG,1697491592
278,bagalkot,16.1833,75.7,26.18,59,93,2.52,IN,1697491592
279,lusaka,-15.4067,28.2871,19.83,81,100,1.8,ZM,1697491592
280,bubaque,11.2833,-15.8333,27.75,83,0,5.58,GW,1697491440
281,dondo,-19.6094,34.7431,23.73,92,100,2.74,MZ,1697491593
282,badagry,6.4167,2.8833,26.21,83,95,4.22,NG,1697491593
283,iquique,-20.2208,-70.1431,20.02,72,26,2.61,CL,1697491058
284,tyukhtet,56.5389,89.3011,4.24,94,100,7.53,RU,1697491593
285,alamosa,37.4695,-105.87,19.99,18,0,0.0,US,1697491219
286,irece,-11.3042,-41.8558,28.87,27,0,6.41,BR,1697491593
287,la passe,45.5549,-0.8967,14.13,55,100,5.39,FR,1697491423
288,ghanzi,-21.5667,21.7833,20.46,17,0,5.53,BW,1697491439
289,princeville,45.7668,-61.2985,10.29,96,100,4.63,CA,1697491593
290,rampur,28.8167,79.0333,19.41,85,100,4.22,IN,1697491593
291,polyarnyy,69.1989,33.4478,3.21,85,100,13.01,RU,1697491420
292,mogadishu,2.0371,45.3438,26.41,87,100,4.73,SO,1697491594
293,lorengau,-2.0226,147.2712,27.75,76,100,1.62,PG,1697491310
294,red bluff,40.1785,-122.2358,26.03,38,0,1.54,US,1697491594
295,sake,-1.5736,29.045,16.67,95,86,0.75,CD,1697491594
296,mahina,-17.5065,-149.489,29.87,62,0,2.57,PF,1697491437
297,eforie sud,44.0229,28.6494,6.56,55,10,4.1,RO,1697491594
298,wewak,-3.5534,143.6268,26.47,83,75,1.34,PG,1697491260
299,andergrove,-21.0833,149.1833,23.14,78,1,2.54,AU,1697491594
300,juye,35.3947,116.0883,14.44,69,0,3.0,CN,1697491594
301,kalabo,-14.97,22.6814,27.68,41,99,3.14,ZM,1697491595
302,zagora,30.3484,-5.8365,26.33,21,61,1.79,MA,1697491595
303,nar'yan-mar,67.6713,53.087,3.95,93,100,5.81,RU,1697491595
